datetime,Change_NQ,Change_ES,Change_YM,SMT_NQ_ES,SMT_NQ_YM,RS,FVG_Bullish,FVG_Bearish,Sweep_High,Sweep_Low,Bullish_Setup,Bearish_Setup,Target
2024-01-03 15:40:00,0.001254485368645357,0.00014929829799938826,-0.0005343735805701463,0,1,0,0,0,0,0,0,0,1
2024-01-03 15:45:00,-0.00037594927191166223,-0.00021325599249343754,4.0100518633337854e-05,0,1,2,0,0,0,0,0,0,1
2024-01-03 15:50:00,0.0007627501128328074,0.0002864760481066367,-0.00013366839544461147,0,1,0,0,0,0,0,0,0,1
2024-01-03 15:55:00,0.0012530066145519515,0.0009596110376593779,0.0010159884498155058,0,0,0,0,0,0,0,0,0,0
2024-01-03 16:00:00,0.0007754673072592833,0.0005323931059460686,0.000534230841146429,0,0,0,0,0,0,0,0,0,0
2024-01-03 16:05:00,-0.0006375956393458905,8.92172728046978e-05,0.00034707390004270463,1,1,2,0,0,0,0,0,0,0
2024-01-03 16:10:00,-0.00015011258443833444,-6.408617269499913e-05,-0.0003469534815447315,0,0,1,0,0,0,0,0,0,0
2024-01-03 16:15:00,-0.0002502314641043534,-0.0002981070204203018,-0.0001868959256688022,0,0,2,0,0,0,0,0,0,0
2024-01-03 16:20:00,-0.00025027530283317336,9.584664536744604e-05,0.00025368511001914773,1,1,2,0,0,0,0,0,0,0
2024-01-03 16:25:00,0.00013768415255405812,0.0003407517836225496,0.00034706463411377165,0,0,2,0,0,0,0,0,0,0
2024-01-03 16:30:00,2.2527596305510632e-05,-0.00014903129657226565,-5.338173277114892e-05,1,1,0,0,0,0,0,0,0,0
2024-01-03 16:35:00,-0.0011013215859030782,-0.0005110297248956841,-0.0003736821032963736,0,0,2,0,0,0,0,0,0,0
2024-01-03 16:40:00,0.00023803259793781195,0.00037494674051990746,0.0002670084374666847,0,0,1,0,0,0,0,0,0,0
2024-01-03 16:45:00,-0.0001753463089601793,-8.51825035137008e-05,-8.007473642058646e-05,0,0,2,0,0,0,0,0,0,0
2024-01-03 16:50:00,-0.00027557871530216864,-0.00012757166588581883,0.00013344720828443302,0,1,2,0,0,0,0,0,0,0
2024-01-03 16:55:00,-0.000526249843378114,-0.0004896802913799792,-0.0002935368522175739,0,0,2,0,0,0,0,0,0,0
2024-01-03 17:00:00,0.0005014416447285661,0.0004053190129139589,0.00037372200421768333,0,0,0,0,0,0,1,0,0,1
2024-01-03 17:05:00,-0.0006766238973537456,-0.000489935030354588,-0.0002935055232401857,0,0,2,0,0,0,0,0,0,1
2024-01-03 17:10:00,-0.0001504664459825516,-0.0001545150359114062,-0.0001331909782463089,0,0,2,0,0,0,0,0,0,1
2024-01-03 17:15:00,-0.0003636728449248371,-0.00027710573715454073,-0.0003470368392952361,0,0,1,0,0,0,0,0,0,1
2024-01-03 17:20:00,0.0006021678040947639,0.0003837871260740855,0.00010681193089258356,0,0,0,0,0,0,0,0,0,1
2024-01-03 17:25:00,0.001153460381143379,0.0008312197617169726,0.000694221937413198,0,0,0,0,0,0,0,0,0,1
2024-01-03 17:30:00,2.5046963055706712e-05,0.00014906938114909746,0.00013340092313441842,0,0,1,0,0,0,0,0,0,1
2024-01-03 17:35:00,5.009141683582201e-05,0.00021292451825832587,0.0002667733760169825,0,0,2,0,0,0,0,0,0,1
2024-01-03 17:40:00,-0.0001001778156227816,0.00022139907182693616,0.0005040268814335818,1,1,2,0,0,0,0,0,0,1
2024-01-03 17:45:00,0.00020037068576863218,0.00012812599765872526,7.995735607683785e-05,0,0,0,0,0,0,0,0,0,1
